"","RNA_Name","RNA_ID.x","RNA.Pvalue.Gain","RNA.Diff.Gain","RNA.Pvalue.Loss","RNA.Diff.Loss","RNA.Pvalue.GainvLoss","RNA.Diff.GainvLoss","Protein_ID","Protein.Pvalue.Gain","Protein.Diff.Gain","Protein.Pvalue.Loss","Protein.Diff.Loss","Protein.Pvalue.GainvLoss","Protein.Diff.GainvLoss","Three.RNA.Gain","Three.RNA.Loss","Three.Protein.Gain","Three.Protein.Loss","RNA_ID.y","RNA_ID.All","Variance.noAn","Variance.Mean.noAn","Variance.All","St.Dev.noAn","St.Dev.All","Chrm.Num.Arm","RNA_num"
"2911","FMN1","FMN1..342184.",0.142614704090329,0.429057698439677,0.426737194702138,0.120176406010845,0.301400266892619,0.308881292428832,"sp.Q68DA7.FMN1_HUMAN",0.25847900334671,0.266161105512138,0.584288719593156,0.0831189376908388,0.454621067401954,0.183042167821299,"Scaling","Anti-Scaling","Scaling","Buffering","FMN1","FMN1",2.02958481398517,1.22464135323279,1.84939442728175,1.4246349756991,1.35992441969462,"15q","FMN1"
"2912","FMNL1","FMNL1..752.",0.565064983893,0.137214974899971,0.84466791178311,-0.0494295899433692,0.545830230419604,0.18664456484334,"sp.O95466.2.FMNL_HUMAN",0.681383126329344,-0.072299410117418,0.364462886864192,-0.168436443061011,0.672305259763153,0.096137032943593,"Buffering","Buffering","Buffering","Buffering","FMNL1","FMNL1",3.22702084302583,0.982551091758976,3.02137950473711,1.79639106071752,1.73821158226987,"17q","FMNL1"
"2913","FMNL2","FMNL2..114793.",0.000983938137392015,0.820011127792932,0.926164988412708,-0.0154289721479572,0.00197612902374069,0.835440099940889,"sp.Q96PY5.3.FMNL2_HUMAN",0.00435047108066331,0.525308555593437,0.85398390973196,0.0223907513905475,0.01195800444763,0.502917804202889,"Scaling","Buffering","Scaling","Buffering","FMNL2","FMNL2",2.0031167399698,0.539815999336059,1.89062426602795,1.41531506738599,1.37499973310105,"2q","FMNL2"
"2914","FMNL3","FMNL3..91010.",0.435680594196495,-0.185092816138969,0.848705705995092,-0.0313998208363655,0.571266913307282,-0.153692995302603,"sp.Q8IVF7.FMNL3_HUMAN",0.946696866682334,0.0120458474731449,0.135143242136338,0.187603844780915,0.397995859202749,-0.17555799730777,"Anti-Scaling","Buffering","Buffering","Anti-Scaling","FMNL3","FMNL3",1.27107925696215,0.536742919755103,1.3050396966906,1.12742150811582,1.14238334051692,"12q","FMNL3"
"2915","FN1","FN1..2335.",0.0319729795656384,1.42651131380505,0.010586656585901,1.14846286998852,0.703209025763504,0.278048443816532,"sp.P02751.FINC_HUMAN",0.0343707573094714,0.612861370643368,0.0323530682034379,0.506143632614535,0.75468752087212,0.106717738028834,"Scaling","Anti-Scaling","Scaling","Anti-Scaling","FN1","FN1",10.8378731727218,1.90416823519208,11.1705362526522,3.29209252189573,3.34223521803182,"2q","FN1"
"2916","FN3K","FN3K..64122.",0.302747147985445,0.180997585147825,0.00873277404404593,-0.493616897488768,0.00394760633748478,0.674614482636593,"sp.Q9H479.FN3K_HUMAN",0.200340195230503,0.277331644630279,0.0244539430188617,-0.432260278472253,0.00623397340866747,0.709591923102532,"Buffering","Scaling","Scaling","Scaling","FN3K","FN3K",1.50558330062389,0.554721439965687,1.49990279575676,1.22702212719408,1.22470518728254,"17q","FN3K"
"2927","FOLR1","FOLR1..2348.",0.296547303348643,0.329969467587588,0.421510320225895,-0.189706475839802,0.131185352674462,0.519675943427391,"sp.P15328.FOLR1_HUMAN",0.166554834410932,0.448869632593129,0.853882735380303,-0.0510389936956954,0.185664788829267,0.499908626288825,"Scaling","Buffering","Scaling","Buffering","FOLR1","FOLR1",4.10000908856701,2.50654749689961,3.98472633157553,2.02484791739207,1.99617793084072,"11q","FOLR1"
"2929","FOS","FOS..2353.",0.363739655521275,0.32121916267688,0.138753513247563,-0.423751555406544,0.0576342698433821,0.744970718083424,"sp.P01100.FOS_HUMAN",0.403773006590405,0.354560688034899,0.329576262374107,-0.326756150388755,0.157927095709268,0.681316838423654,"Scaling","Scaling","Scaling","Scaling","FOS","FOS",6.12089703244914,1.06275179776422,5.66928202442065,2.47404467066566,2.38102541448441,"14q","FOS"
"2930","FOSL1","FOSL1..8061.",0.0421048842009797,0.791084202190002,0.238416300780341,0.370854931937934,0.331105498570177,0.420229270252069,"sp.P15407.FOSL1_HUMAN",0.0124627707777498,0.654989739097686,0.0110343628245387,0.499037822968464,0.58482278646335,0.155951916129221,"Scaling","Anti-Scaling","Scaling","Anti-Scaling","FOSL1","FOSL1",6.56221751307783,1.35191759973442,6.58179386112457,2.56168255509496,2.56550070378563,"11q","FOSL1"
"2932","FOXA1","FOXA1..3169.",0.00023880164618403,1.4268645305202,0.0397365443729239,-0.517838651798043,4.67819228876808e-06,1.94470318231824,"sp.P55317.FOXA1_HUMAN",0.00106714524862492,1.18993486601606,0.0480110225792339,-0.560391185286627,1.63961590217009e-05,1.75032605130269,"Scaling","Scaling","Scaling","Scaling","FOXA1","FOXA1",4.43399725156437,1.7626220704686,4.78101386132318,2.1057058796433,2.18655296330164,"14q","FOXA1"
"2933","FOXA2","FOXA2..3170.",0.317185934282503,0.211135752228207,0.27916776470759,-0.196558598556247,0.0730288064999849,0.407694350784454,"sp.Q9Y261.2.FOXA2_HUMAN",0.253020302049411,0.457408874815547,0.339028840869089,0.481078153624194,0.96497318678184,-0.0236692788086469,"Buffering","Buffering","Scaling","Anti-Scaling","FOXA2","FOXA2",2.37917426505715,2.43557507868932,2.47084518575277,1.5424572166051,1.57189223096012,"20p","FOXA2"
"2934","FOXC1","FOXC1..2296.",0.0902496015242832,0.403943393439362,0.558305865000331,0.0925646765130739,0.231791876741086,0.311378716926288,"sp.Q12948.FOXC1_HUMAN",0.293093998852629,0.319796541356078,0.233474488178903,0.235246850283751,0.800532388224128,0.0845496910723274,"Scaling","Buffering","Scaling","Anti-Scaling","FOXC1","FOXC1",1.63844461483328,0.783448293817996,1.64050790148887,1.28001742755061,1.28082313435106,"6p","FOXC1"
"2940","FOXO1","FOXO1..2308.",0.670821950493615,0.0744438518428976,0.000854678362148933,-0.38363625228587,0.0089514087403998,0.458080104128768,"sp.Q12778.FOXO1_HUMAN",0.319284265599493,0.259732207455738,0.125866022821643,-0.237424089423387,0.0570917613573073,0.497156296879126,"Buffering","Scaling","Scaling","Buffering","FOXO1","FOXO1",1.36829193077033,0.684349637605196,1.11720935507445,1.16974011249095,1.05698124632107,"13q","FOXO1"
"2942","FOXP1","FOXP1..27086.",0.683588384738445,0.162474377821087,0.0714382143363221,-0.223118196462917,0.337505520114361,0.385592574284005,"sp.Q9H334.FOXP1_HUMAN",0.206526933967454,0.424351680450531,0.671382641830178,-0.0489184553188477,0.157862285254104,0.473270135769378,"Buffering","Buffering","Scaling","Buffering","FOXP1","FOXP1",1.61502689385924,0.545652774550712,1.42128396238768,1.27083708391723,1.19217614570485,"3p","FOXP1"
